address,price,beds,baths,sqft,property_type
"2865 Jasper St, Philadelphia, PA 19134","$184,000",3 beds,1 bath,"1,214",Single Family
"3308 N Mascher St, Philadelphia, PA 19140","$75,000",2 beds,2 baths,"1,162",Single Family
,,,,,
"934 E Schiller St, Philadelphia, PA 19134","$134,999",3 beds,1 bath,"1,176",Single Family
"650 E Wensley, Philadelphia, PA 19134","$143,000",2 beds,1 bath,756,Single Family
"1905 E Orleans St, Philadelphia, PA 19134","$139,900",3 beds,1 bath,"1,064",Single Family
"667 E Thayer St, Philadelphia, PA 19134","$70,000",2 beds,1 bath,784,Single Family
"703 E Allegheny Ave, Philadelphia, PA 19134","$79,900",3 beds,1 bath,"1,156",Single Family
"2536-2538 Emerald St, Philadelphia, PA 19125","$375,000",4 beds,2 baths,"1,721",Single Family
"1834 E Albert St, Philadelphia, PA 19125","$270,000",2 beds,1 bath,"1,200",Single Family
"2080 E Cumberland St, Philadelphia, PA 19125","$399,900",3 beds,2 baths,"2,175",Single Family
"732 E Willard St, Philadelphia, PA 19134","$115,000",3 beds,1 bath,"1,110",Single Family
"2814 Jasper St, Philadelphia, PA 19134","$124,900",3 beds,1 bath,"1,212",Single Family
"2107 E Susquehanna Ave, Philadelphia, PA 19125","$400,000",2 beds,2 baths,"2,383",Single Family
"2036 E Boston St, Philadelphia, PA 19125","$274,900",2 beds,1 bath,966,Single Family
"638 E Cornwall St, Philadelphia, PA 19134","$164,900",3 beds,1 bath,"1,080",Single Family
"2536 N Lee St, Philadelphia, PA 19125","$239,900",3 beds,2 baths,"1,360",Single Family
,,,,,
"2548 Kern St, Philadelphia, PA 19125","$339,900",2 beds,1.5 baths,"1,018",Single Family
"2103 E Susquehanna Ave, Philadelphia, PA 19125","$590,000",3 beds,2 baths,"2,127",Single Family
"2765 Helen St, Philadelphia, PA 19134","$74,900",2 beds,1 bath,774,Single Family
"3424 Jasper St, Philadelphia, PA 19134","$75,000",3 beds,1.5 baths,"1,080",Single Family
"127 E Cumberland St, Philadelphia, PA 19125","$440,000",4 beds,2 baths,"2,270",Single Family
"123 E Cumberland St, Philadelphia, PA 19125","$425,000",4 beds,2 baths,"2,040",Single Family
"838 E Madison St, Philadelphia, PA 19134","$114,900",3 beds,1 bath,"1,198",Single Family
"1832 E Lippincott St, Philadelphia, PA 19134","$90,000",3 beds,1 bath,756,Single Family
"1866 E Cornwall St, Philadelphia, PA 19134","$119,000",2 beds,2 baths,910,Single Family
,,,,,
"2103 E York St, Philadelphia, PA 19125","$275,000",5 beds,1.5 baths,"1,666",Single Family
